id,right_answer
9,C
11,D
14,A
16,A
18,D
20,B
22,C
26,D
28,C
32,C
34,B
36,A
40,B
42,A
45,B
49,C
51,B
54,A
56,A
57,A
58,C
59,A
60,A
61,A
62,B
64,A
65,B
66,B
67,C
70,A
73,A
74,A
75,D
77,A
79,B
81,A
83,A
85,A
88,A
89,C
92,A
95,A
99,
100,A
101,C
103,C
104,C
106,B
109,A
111,C
112,A
114,A
116,B
117,A
118,C
119,A
121,B
123,D
125,C
126,A
127,C
128,B
130,B
131,A
132,D
135,C
136,A
137,C
140,B
141,A
142,C
143,A
145,C
146,B
147,D
149,A
150,A
152,A
153,B
157,A
158,A
159,A
163,A
167,B
171,B
173,A
174,A
175,C
182,B
185,B
186,A
187,C
194,B
195,C
196,B
197,B
199,C
200,B
201,A
202,B
205,A
208,A
210,B
212,C
213,A
214,C
218,A
219,A
220,B
224,C
225,B
228,A
230,C
231,C
234,B
236,A
240,C
241,B
242,B
244,A
250,B
252,B
253,A
254,A
260,A
262,B
265,C
266,B
268,B
270,A
271,A
272,A
275,A
276,A
278,C
280,A
282,A
288,B
289,C
291,A
292,A
293,A
296,A
297,A
298,B
299,B
300,A
303,A
305,A
307,B
310,A
311,A
312,A
313,B
315,A
316,D
317,C
319,C
323,C
325,B
326,A
329,C
332,C
333,A
334,A
337,A
338,B
342,B
343,A
344,C
346,A
351,C
352,A
354,A
358,A
360,D
364,C
367,A
376,D
378,C
380,C
388,B
389,A
401,A
403,A
404,B
406,A
408,A
410,A
411,C
413,B
415,A
417,C
418,A
419,C
421,C
423,B
425,A
426,B
427,C
429,B
430,A
431,C
432,B
433,B
436,D
439,C
441,A
442,C
443,B
445,D
446,B
448,A
450,A
451,A
452,A
453,B
456,A
457,D
459,A
461,A
463,A
464,C
465,A
470,A
472,B
475,B
479,C
481,B
484,C
486,C
487,C
489,B
491,C
492,A
496,A
504,A
509,B
510,A
511,C
512,A
514,C
515,B
517,A
519,B
522,A
525,A
528,A
530,D
531,C
532,C
533,B
534,C
536,A
537,A
539,C
540,A
542,C
543,B
544,A
548,C
550,A
555,A
557,A
561,B
562,A
563,C
566,B
570,C
571,D
572,A
575,C
579,C
582,B
588,A
589,A
590,A
591,A
594,B
597,C
598,A
600,B
601,A
605,A
607,B
608,C
609,C
610,A
612,A
615,A
616,A
617,A
618,B
621,C
622,C
623,A
624,C
626,C
630,B
632,B
636,B
639,C
643,A
649,A
650,C
651,B
652,C
655,B
656,A
658,B
659,C
660,B
661,B
662,D
663,B
665,B
666,A
668,C
671,A
676,A
678,A
681,C
682,C
685,D
686,A
690,A
691,C
693,C
694,A
695,A
696,D
700,A
701,C
702,A
703,A
704,C
706,C
707,A
710,C
711,C
713,B
714,A
715,B
718,C
720,B
721,A
724,C
725,B
729,A
732,A
733,A
734,C
735,B
736,B
739,B
740,C
741,A
742,C
745,C
750,A
752,A
758,C
760,A
762,B
764,A
766,A
768,B
769,A
770,C
777,B
780,C
781,D
782,A
783,B
787,C
790,A
791,B
792,A
793,A
794,C
795,A
796,B
797,B
800,C
801,A
802,B
804,A
805,A
806,B
808,B
809,C
811,C
813,C
818,B
819,A
821,B
826,C
828,C
831,C
834,A
836,A
839,A
840,B
843,A
844,A
847,B
848,B
850,A
853,B
856,A
859,B
864,A
872,B
873,C
874,A
875,C
878,C
879,A
883,A
884,B
885,C
888,A
890,C
892,B
893,A
896,B
899,C
900,A
901,C
905,C
907,A
908,A
909,A
910,A
913,A
914,C
916,D
918,A
921,B
922,A
923,B
924,B
927,A
929,A
931,C
932,A
933,A
936,A
940,A
942,A
943,A
944,A
945,C
948,B
949,A
953,B
961,C
963,C
965,C
966,A
967,B
969,B
971,B
972,B
973,C
974,D
976,A
978,A
979,B
985,D
987,C
989,B
990,A
996,B
997,A
1000,A
1004,D
1009,B
1012,C
1013,C
1014,D
1016,C
1017,B
1018,B
1019,B
1020,A
1021,A
1023,B
1024,B
1026,D
1029,D
1034,A
1035,A
1036,A
1037,B
1038,C
1042,C
1045,A
1046,C
1048,C
1053,A
1054,A
1055,C
1063,ABD
1064,ABD
1065,ACD
1066,ABCDEFG
1067,BC
1068,ACDE
1069,BCD
1070,AB
1073,ABCD
1074,ABCD
1075,ABCD
1077,ABCD
1078,ABCD
1079,D
1080,C
1083,A
1084,B
1087,B
1093,C
1094,A
1095,A
1099,A
1100,B
1101,C
1107,A
1108,A
1112,C
1113,A
1115,B
1116,A
1117,B
1123,C
1125,B
1126,A
1127,A
1128,A
1131,B
1133,C
1134,A
1135,B
1136,C
1137,B
1138,A
1139,B
1140,A
1142,B
1146,B
1147,B
1149,B
1151,C
1152,A
1153,C
1154,C
1155,A
1156,C
1157,C
1158,C
1159,A
1160,C
1161,B
1163,C
1167,B
1168,D
1169,A
1173,B
1175,A
1177,B
1180,A
1182,B
1184,C
1189,B
1193,B
1197,B
1199,B
1204,B
1207,B
1208,B
1209,A
1210,A
1215,B
1216,B
1217,A
1218,B
1219,B
1222,B
1223,B
1224,B
1226,
1227,A
1228,B
1232,B
1233,B
1234,B
1235,A
1238,B
1239,B
1240,
1241,B
1243,B
1244,B
1247,A
1248,B
1249,B
1251,A
1254,B
1255,B
1256,B
1258,B
1260,B
1265,B
1267,B
1269,B
1271,A
1272,B
1273,B
1277,C
1278,B
1279,C
1281,C
1283,
1284,D
1288,A
1289,B
1294,A
1295,B
1296,B
1297,A
1298,C
1300,C
1301,B
1305,D
1307,C
1308,A
1309,B
1313,D
1314,D
1316,C
1317,A
1319,A
1323,A
1325,D
1326,A
1328,C
1329,A
1330,B
1331,A
1333,A
1335,D
1336,A
1343,A
1344,A
1345,C
1349,B
1351,C
1353,A
1357,B
1363,A
1364,B
1365,C
1368,B
1371,A
1373,C
1375,A
1377,C
1379,C
1380,A
1381,D
1382,B
1385,C
1386,B
1387,B
1388,A
1390,B
1391,A
1392,B
1394,A
1395,B
1399,B
1401,C
1409,A
1412,AB
1414,ACD
1416,ABD
1418,AC
1420,ABC
1421,BC
1422,ABC
1423,ABC
1424,ABD
1426,ABD
1427,ABD
1428,AC
1433,ABC
1434,ABD
1443,ABD
1444,ACD
1446,
1447,AC
1449,ABD
1451,ABD
1453,ABD
1454,ACD
1458,ACD
1459,ACD
1464,A
1466,A
1467,ABD
1470,ACD
1473,ACD
1475,A
1477,A
1478,ABC
1482,ABD
1484,ACD
1486,ACD
1487,ABCD
1488,ACD
1489,ACD
1498,ACD
1499,ACD
1501,ACD
1502,ABD
1503,ACD
1504,ACD
1506,A
1511,A
1513,ACD
1516,A
1518,ACD
1523,ACD
1524,A
1526,A
1528,A
1530,ABD
1531,A
1532,A
1534,A
1535,ACD
1536,ACD
1537,ABD
1538,ACD
1540,ACD
1541,ACD
1543,ACD
1545,ACD
1546,ACD
1549,BCD
1551,ACD
1552,ACD
1554,ABD
1555,ABD
1556,ACD
1560,ABD
1561,ACD
1562,ACD
1564,ACD
1565,ABD
1566,ACD
1567,ACD
1568,ACD
1569,ABD
1572,ACD
1573,ACD
1574,ACD
1575,ACD
1577,ACD
1578,AC
1579,ACD
1584,AB
1585,A
1590,ABD
1591,A
1592,A
1593,BC
1595,ABC
1599,ABCD
1600,A
1602,ABCD
1603,ACD
1605,ACD
1607,A
1610,ACD
1611,ACD
1614,ABD
1616,A
1618,ABCD
1619,ABCD
1620,ABC
1621,ABCD
1624,ABCD
1627,ABCD
1629,ABCD
1634,ABCD
1635,ABCD
1637,ABCD
1638,ABCD
1639,ABCD
1640,ABCD
1641,ABCD
1642,ABCD
1643,ABCD
1645,ABCD
1647,ABCD
1648,ABCD
1650,ABCD
1651,ABCD
1653,ABC
1657,ABD
1658,ABC
1659,ABC
1661,ABD
1664,ABD
1668,ABC
1671,ABD
1672,ABD
1674,ABC
1680,ABD
1683,ABD
1687,ABC
1689,AC
1690,A
1691,ABC
1693,ACD
1695,ABC
1696,A
1697,AC
1698,ABC
1702,A
1705,ABC
1706,A
1707,ABC
1711,AC
1713,A
1714,ACD
1717,ABC
1718,A
1723,ACD
1724,AD
1726,ABD
1727,ABD
1729,ABD
1730,AC
1732,ABD
1733,ABCD
1736,ABCD
1737,ABCD
1738,ABC
1741,A
1742,A
1748,A
1750,A
1751,错
1755,A
1756,A
1758,A
1759,错
1761,错
1764,A
1766,A
1767,错
1768,A
1769,A
1773,错
1774,A
1775,错
1776,A
1778,A
1779,A
1781,错
1784,A
1785,错
1787,A
1789,A
1791,A
1792,A
1793,错
1794,A
1796,A
1797,A
1798,A
1799,A
1800,
1804,错
1810,A
1814,错
1815,错
1816,A
1817,A
1818,A
1819,A
1824,错
1825,A
1826,A
1828,A
1829,A
1831,A
1832,错
1834,错
1835,A
1838,A
1841,错
1843,A
1845,错
1846,A
1849,A
1850,A
1851,A
1855,错
1856,A
1858,错
1859,A
1862,错
1864,错
1865,A
1866,错
1867,A
1869,A
1870,A
1871,错
1875,错
1876,A
1879,A
1880,错
1881,A
1884,错
1885,错
1886,A
1890,错
1892,A
1893,A
1894,错
1898,错
1900,A
1901,A
1902,A
1907,A
1908,A
1910,A
1911,错
1912,A
1916,A
1917,错
1919,A
1920,错
1921,A
1922,A
1924,错
1925,A
1928,A
1931,
1932,错
1934,A
1935,A
1937,A
1938,A
1939,A
1940,A
1943,错
1944,A
1951,A
1955,错
1956,错
1957,错
1958,A
1960,错
1961,A
1962,错
1963,错
1966,A
1967,错
1968,
1969,A
1971,A
1973,
1975,A
1976,A
1977,A
1979,A
1981,A
1983,A
1984,A
1988,A
1989,错
1990,错
1991,错
1995,A
1997,A
2003,错
2005,A
2008,A
2010,错
2011,A
2013,A
2014,错
2015,A
2017,A
2018,A
2020,A
2023,A
2026,A
2027,A
2028,A
2030,错
2032,错
2038,A
2040,A
2043,错
2051,A
2053,错
2062,错
2066,错
2068,错
2069,错
2070,错
2071,错
2074,错
2077,
