id,option_A,option_B,option_C,option_D,option_E,option_F,option_G
8,A、7月31日,B、8月31日,C、8月30日,D、7月30日,,,
9,A、10月1日,B、11月1日,C、12月1日,D、8月31日,,,
11,A、5,B、10,C、15,D、30,,,
14,A、主要负责人  终身,B、主要负责人 十年,C、直接责任人  终身,D、主要负责人 五年,,,
16,A、100,B、400,C、300,D、200,,,
18,A、安全生产目标管理制,B、安全生产承包责任制,C、安全生产奖励制度,D、安全生产责任制,,,
20,A、事故预防 劳动保护,B、事故预防 事故控制,C、安全生产 事故控制,D、安全生产 劳动保护,,,
22,A、审批,B、登记,C、淘汰,D、监管,,,
26,A、劳动用工情况,B、安全技术措施,C、安全投入资金情况,D、事故应急措施,,,
28,A、2,B、4,C、8,D、16,,,
32,A、董事长,B、党委书记,C、主要负责人,D、总经理,,,
34,A、拖延不报,B、迟报,C、被举报,D、不报,,,
36,A、作出书面记录，并由检查人员和被检查单位的负责人签字,B、口头告知被检查单位，责令立即整改,C、作出书面记录，并由安全管理部门负责人签字,D、作出书面记录，由负有安全生产监督管理职责的部门负责人签字,,,
40,A、建设单位,B、施工单位,C、建设行政主管单位,D、消防监督机构,,,
42,A、上岗前、在岗期间和离岗时,B、上岗前和在岗期间,C、在岗期间,D、上岗前和离岗时,,,
44,A、正确使用和维护职业病防护设备和个人使用的职业病防护用品,B、发现职业病危害事故隐患及时报告,C、在有职业危害因素的作业场所设置警示标识,,,,
45,A、半小时,B、1小时,C、2小时,D、3小时,,,
49,A、触电后停止呼吸的,B、高处坠落后停止呼吸的,C、硫化氢中毒停止呼吸的,D、溺水后停止呼吸的,,,
51,A、烧死,B、窒息或中毒,C、被烧塌的建筑砸死,D、被践踏致死,,,
52,A、粉尘粒径越大，越易引发尘肺病,B、粉尘中游离二氧化硅含量越高，越易引发尘肺病,C、接触粉尘时间越长，越易引发尘肺病,,,,
54,A、本单位,B、安全生产监督管理部门,C、工伤保险经办机构,D、劳动和社会保障部门,,,
56,A、能,B、不能,C、视职工承担责任程度而定,,,,
57,A、行政责任,B、刑事责任,C、民事责任,D、赔偿责任,,,
58,A、分为1—8级，最重为第1级，最轻为第8级,B、分为1—10级，最重为第10级，最轻为第1级,C、分为1—10级，最重为第1级，最轻为第10级,,,,
59,A、以人民为中心,B、综合治理,C、改革创新,D、全过程监管,,,
60,A、事故原因,B、事故类型,C、事故影响,D、事故损失,,,
61,A、民事责任,B、刑事责任,C、赔偿责任,D、连带责任,,,
62,A、严格市场准入,B、隐患排查治理,C、严防风险演变,D、严防隐患升级,,,
64,A、2019年4月1日,B、2019年5月1日,C、2019年10月1日,D、2019年1月1日,,,
65,A、5米,B、10米,C、15米,D、20米,,,
66,A、低挂高用,B、高挂抵用,C、水平挂用,D、钩挂牢靠，挂位不受限制,,,
67,A、只能依法享有工伤保险补偿,B、只能依照有关民事法律的规定向本单位提出赔偿,C、除依法享有工伤保险外，可以依照有关民事法律的规定向本单位提出赔偿,D、依法享有工伤保险，但应当首先向本单位提出民事赔偿,,,
68,A、应当完全停止生产系统，禁止边生产，边维修,B、可以只停止检修部件的运行，以便不影响生产效率,C、只要生产运行不影响检修，可以边生产，边维修,,,,
69,A、本单位从业人员,B、本单位管理层,C、本单位负责人,D、本单位安全管理人员,,,
70,A、职业卫生管理人员,B、应急管理人员,C、工会督察员,D、技术人员,,,
73,A、本单位负责人,B、安全管理人员,C、所在地安全生产监管部门,D、所在地人民政府,,,
74,A、安全预评价,B、安全态势评价,C、安全状态评估,,,,
75,A、各级人民政府,B、生产经营单位安全生产管理部门,C、安全生产监察机关,D、负有安全生产监督管理职责的部门,,,
77,A、生产经营单位,B、安全生产监督管理部门,C、安全生产宣教中心,D、职工本人,,,
79,A、施工单位,B、生产经营单位,C、建设单位,D、监理工程师,,,
81,A、以人为本,B、效率为上,C、降低事故率,D、合理安排生产,,,
83,A、救援方案,B、处置方案,C、应急预案,D、上报方案,,,
85,A、安全管理人员,B、班组长,C、单位的主要负责人,D、安全负责人,,,
88,A、生产经营单位法定代表人和实际负有本单位生产经营最高管理权限的人员,B、生产经营单位安全管理人员,C、生产经营单位班组长,D、安全副总,,,
89,A、300,B、500,C、800,D、1000,,,
91,A、及时维修,B、报废处理,C、改作他用,D、加强日常检查,,,
92,A、县级以上地方各级人民政府,B、国务院安全生产监督管理部门,C、国家安全生产应急救援指挥中心,D、负有安全生产监督管理职责的部门,,,
95,A、火焰根部,B、火焰中部,C、火焰顶部,D、朝天喷射,,,
99,A、实时监测,B、登记建档,C、定期检验,,,,
100,A、整改方案、责任、时限、措施和资金,B、整改方案、人员、时限、措施和资金,C、整改方案、人员、责任、时限和资金,D、整改方案、责任、时限、人员和复查,,,
101,A、安全调度,B、民主协调,C、民主管理,D、最终决策,,,
103,A、超过规定时限报告,B、故意不如实报告事故发生的时间、地点、类别、伤亡人数、直接经济损失等有关内容的,C、故意隐瞒已经发生的事故，并经有关部门查证属实的,,,,
104,A、生产经营场所和设施、设备符合安全生产的要求,B、保证安全生产所必需的资金投入,C、主要负责人和安全生产管理人员取得注册安全工程师执业资格,,,,
106,A、5,B、10,C、15,,,,
109,A、先通风、再检测、后作业,B、先检测、再通风、后作业,C、先通风、再作业、后检测,,,,
110,A、事故隐患排查制度,B、安全生产责任制度,C、职业危害防治制度,,,,
111,A、10米,B、20米,C、30米,D、50米,,,
112,A、生产工艺过程中产生的静电能量不大，不会直接使人致命,B、静电产生的电火花能量不大，不会成为点火源,C、静电电压一般不超过1KV,D、静电会影响电子产品质量，但不会损害电子设备,,,
113,A、正常,B、偏低,C、偏高,,,,
114,A、确保安全、迅速撤离、顾全大局、救助结合,B、以抢救贵重物品为主,C、只要自己能跑掉就行,D、以救人为主，舍己为人,,,
116,A、分工,B、安全管理责任,C、管理权限,,,,
117,A、安全标志,B、安全标签,C、安全铭牌,,,,
118,A、100,B、110,C、132,D、120,,,
